Review ID,DateTime,Course ID,Assignment ID,Time Taken
168,2022/01/12 11:02:09 PM AST,2,56,.5
169,2022/01/13 1:41:14 AM AST,2,56,1
170,2022/01/13 2:14:54 AM AST,2,56,1
171,2022/01/13 11:15:15 AM AST,2,56,1
172,2022/01/15 5:03:21 PM AST,2,80,2.5
173,2022/01/16 9:52:29 PM AST,2,80,2
174,2022/01/17 6:07:44 PM AST,2,80,1
175,2022/01/17 7:11:26 PM AST,2,80,2
176,2022/01/17 8:22:35 PM AST,2,80,3
177,2022/01/17 8:39:30 PM AST,2,80,0.8
178,2022/01/17 10:19:11 PM AST,2,80,2
179,2022/01/17 10:29:57 PM AST,2,80,6
180,2022/01/17 11:06:15 PM AST,2,80,2
181,2022/01/17 11:42:34 PM AST,2,80,1
182,2022/01/18 12:34:10 AM AST,2,80,2
183,2022/01/18 1:30:59 AM AST,2,80,4
184,2022/01/18 1:37:19 AM AST,2,80,1
185,2022/01/18 9:06:26 AM AST,2,80,1.5
186,2022/01/18 7:29:06 PM AST,2,80,2.5 
187,2022/01/18 7:52:24 PM AST,2,57,1
188,2022/01/19 3:03:24 AM AST,2,57,-1
189,2022/01/19 6:35:38 PM AST,2,58,1.5 
190,2022/01/19 11:29:15 PM AST,2,58,2.75
191,2022/01/20 3:09:26 AM AST,2,58,1
192,2022/01/20 4:37:17 AM AST,2,58,4
193,2022/01/23 7:04:09 PM AST,2,59,2
194,2022/01/24 10:36:32 PM AST,2,59,1
195,2022/01/25 12:45:08 AM AST,2,59,0.5
196,2022/01/26 12:12:21 AM AST,2,58,1
197,2022/01/26 8:08:31 PM AST,2,81,3
198,2022/01/26 9:19:24 PM AST,2,81,2.5
199,2022/01/26 10:27:19 PM AST,2,81,3
200,2022/01/26 11:23:26 PM AST,2,81,3
201,2022/01/27 12:58:39 AM AST,2,81,3
202,2022/01/27 4:03:37 AM AST,2,81,3
203,2022/01/31 2:00:23 AM AST,2,60,4
204,2022/01/31 8:15:00 PM AST,2,60,2
205,2022/02/01 12:41:44 AM AST,2,60,3.5
206,2022/02/01 1:09:59 AM AST,2,60,2.5
207,2022/02/01 2:27:33 AM AST,2,60,2 
208,2022/02/03 2:31:16 PM AST,2,82,4
209,2022/02/03 5:13:39 PM AST,2,82,2
210,2022/02/03 5:15:16 PM AST,2,60,2
211,2022/02/04 5:52:27 AM AST,2,82,6
212,2022/02/04 6:35:54 AM AST,2,82,10
213,2022/02/07 12:13:14 AM AST,2,82,3
214,2022/02/07 5:33:33 PM AST,2,62,1
215,2022/02/07 6:46:59 PM AST,2,62,4
216,2022/02/07 11:52:47 PM AST,2,62,1.5
217,2022/02/08 3:12:53 AM AST,2,62,3
218,2022/02/08 5:40:10 AM AST,2,62,2
219,2022/02/14 10:50:38 PM AST,2,63,2
220,2022/02/15 12:57:37 AM AST,2,63,2
221,2022/02/15 10:25:04 PM AST,2,83,5
222,2022/02/15 11:31:04 PM AST,2,83,6
223,2022/02/15 11:59:28 PM AST,2,83,6
224,2022/02/16 1:55:04 PM AST,2,83,2.5 
225,2022/02/16 2:11:04 PM AST,2,83,6
226,2022/02/16 6:47:02 PM AST,2,83,5
227,2022/02/18 12:41:56 AM AST,2,64,1
228,2022/02/19 3:06:56 PM AST,2,56,1
229,2022/02/23 12:49:23 AM AST,2,66,1
230,2022/02/23 2:58:16 AM AST,2,66,0.5
231,2022/02/24 9:41:09 PM AST,2,84,3.5
232,2022/02/24 10:42:49 PM AST,2,84,3
233,2022/03/04 12:07:28 AM AST,2,85,2
234,2022/03/07 6:44:14 PM AST,2,67,3
235,2022/03/07 9:00:49 PM AST,2,67,2
236,2022/03/07 11:54:16 PM AST,2,67,2
237,2022/03/08 7:12:21 AM AST,2,67,1.5
238,2022/03/10 11:44:42 AM AST,2,68,2.5
239,2022/03/23 12:03:25 AM AST,2,69,1
240,2022/03/24 9:11:42 PM AST,2,86,3
241,2022/03/25 2:02:58 AM AST,2,70,1
242,2022/03/25 3:22:24 AM AST,2,86,3
243,2022/03/28 10:03:49 PM AST,2,71,1
244,2022/03/29 12:22:10 AM AST,2,71,.5
245,2022/03/31 12:25:10 AM AST,2,87,4
246,2022/03/31 8:42:58 AM AST,2,72,.75
247,2022/03/31 6:13:09 PM AST,2,73,20
248,2022/03/31 6:14:28 PM AST,2,73,.5
249,2022/04/01 3:27:31 PM AST,2,87,8
250,2022/04/03 11:11:22 PM AST,2,72,1
251,2022/04/04 12:02:07 AM AST,2,74,2.5
252,2022/04/04 12:02:39 AM AST,2,57,2
253,2022/04/04 12:03:10 AM AST,2,76,2.5
254,2022/04/07 11:23:00 PM AST,2,88,8
255,2022/04/08 12:29:27 AM AST,2,88,7
256,2022/04/15 11:15:05 AM AST,2,80,8
257,2022/04/21 8:55:01 PM AST,2,90,5
258,2022/08/23 4:04:02 PM AST,2,56,1
259,2022/08/24 7:50:13 PM AST,2,56,1
