Year,Season,Section,TH-Attendance,Homework #1,Homework #2,Homework #3,Homework #4,Homework #5,Homework #6,Homework #7,Homework #8,Homework #9,Homework #10,Homework #11,Homework #12,Homework #13,Homework #14,Homework #15,Homework #16,Homework #17,Homework #18,Homework #19,Homework #20,Homework #21,Homework #22,Homework #23,Activity #36,Homework #24,Homework #25,Homework #26,Homework #27,Homework #28,Homework #29,Homework #30,Homework #31,Homework #32,Activity #46,Homework #33,Activity #48,Homework #34,Homework #35,Homework #36,Homework #37,Project #1,Project #2,Project #3,Project #4,Project #5,Project #6,Project #7,Project #8,Project #9,Project #10,Midterm Exam #1,Midterm Exam #2,Final Exam,Participation
2023,Autumn,12415,18,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,10,10,10,10,10,10,9.75,10,8.5,94,98,91,4
2023,Autumn,12415,34,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,10,9,9.5,10,10,10,9,10,8.75,91,100,91,4
2023,Autumn,12415,45,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,10,10,9.75,9.5,10,10,10,8.5,9.5,9.25,100,76,77.46,4
2023,Autumn,12415,38,2,2,2,2,2,2,2,2,1.5,2,2,2,2,2,2,2,2,1.5,2,0,2,1.5,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,10,10,10,10,10,10,10,9.75,10,8.5,86,100,87.69,4
2023,Autumn,12415,19,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,10,9.75,8,9.5,9.5,10,8.5,9.75,9,79,100,82,4
2023,Autumn,12415,7,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9.75,10,10,10,10,10,10,9.5,10,10,81,100,94,4
2023,Autumn,12415,13,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.5,2,1.5,2,2,2,2,2,2,2,10,9.5,9.5,10,10,9.5,10,7,9.5,9.5,91,100,94,4
2023,Autumn,12415,30,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9.5,9.5,9,10,9.5,10,10,8.75,9.75,8,100,79,79.23,4
2023,Autumn,12415,12,2,2,2,2,2,2,2,2,1.75,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,9.5,10,10,9.5,10,10,10,9.5,10,75,100,89,4
2023,Autumn,12415,7,2,2,1.75,2,0,2,2,2,2,2,0,0,0,0,2,1,2,0,2,0,0,2,2,2,0,0,1,2,1,0,0,0,0,2,0,2,0,0,0,0,10,9.5,9.5,9.5,10,8,10,9,10,7,79,100,79,1
2023,Autumn,12415,20,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,10,9,9.5,10,10,10,9,10,8.75,100,99,94,4
2023,Autumn,12415,24,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9.5,10,9.75,8,9.5,9.5,10,8.5,9.75,9,100,96,94,4
2023,Autumn,12415,7,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,0,2,2,2,2,2,2,0,2,0,2,2,0,2,2,2,0,2,2,2,9.75,8.5,9.5,9.5,10,8,10,9,10,7,79,97,89,4
2023,Autumn,12415,10,2,2,2,2,2,2,2,2,1.75,2,2,0,2,2,2,2,2,1.5,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,9.75,9.5,9.5,10,10,9.5,10,7,9.5,9.5,75,97,90,3
2023,Autumn,12415,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,9.5,6,9.5,10,10,10,8.75,8.75,10,100,78.86,87,1
2023,Autumn,12415,6,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,0,1.5,2,0,2,2,2,2,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,10,10,10,10,10,10,10,8.75,10,8,EX,85.43,73.69,3
2023,Autumn,12415,41,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,10,10,10,10,10,10,9.5,10,10,100,100,94,4
2023,Autumn,12415,10,2,0,2,2,2,2,2,2,1.5,2,2,2,2,2,2,0,0,2,2,0,0,1,2,2,0,2,0,2,0,2,2,2,0,2,0,2,2,2,0,2,10,10,9.75,9.5,10,10,10,8.5,9.5,9.25,100,65.86,83.23,2
2023,Autumn,12415,36,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,10,10,10,10,10,10,8.75,10,8,63,100,63.62,4
2023,Autumn,12415,18,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,0,2,1,0,2,0,0,2,0,2,0,2,0,2,0,0,10,9.5,8,9.5,9.75,10,10,7.5,9.5,9.5,81,92,96,3
2023,Autumn,12415,24,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,10,9.75,10,9.75,10,10,8.75,9.75,8,100,93,92,4
2023,Autumn,12415,8,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,9.75,9.5,6,9.5,10,10,10,8.75,8.75,10,100,84.29,92,1
2023,Autumn,12415,12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9.25,10,9,9.5,10,10,10,9,10,8.75,100,98,94,4
2023,Autumn,12415,39,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,10,10,10,10,10,10,8.5,10,8,90,100,94,4
2023,Autumn,12415,45,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,10,9.75,10,9.75,10,10,8.75,9.75,8,100,100,96,4
2023,Autumn,12415,17,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,10,10,10,10,9.5,10,9,10,9.25,100,97,78,4
2023,Autumn,12415,10,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.75,2,10,9.5,6,9.5,10,10,10,8.75,8.75,10,100,79.86,90,2
2023,Autumn,12413,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,9.25,10,10,10,9.5,10,9.67,9,8.5,94,100,98,4
2023,Autumn,12413,6,2,0,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,2,0,2,2,2,0,0,2,0,2,0,2,2,2,10,7.75,10,9,9.5,9,10,9.33,8.5,9.5,100,86.86,92,4
2023,Autumn,12413,0,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,10,7.75,10,9,9.5,9,10,9.33,8.5,9.5,100,96,96,4
2023,Autumn,12413,30,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,9.25,9.5,9.5,9,10,10,8.5,10,9,100,96,70.38,4
2023,Autumn,12413,22,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,7.25,9.75,7.25,7,8.5,9,7.25,5.5,3,100,88.29,78.85,4
2023,Autumn,12413,26,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,10,10,10,10,10,10,9.5,10,9,100,81.74,78,4
2023,Autumn,12413,24,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,10,9.5,10,10,10,9.5,9.5,9.5,7,8.5,77,100,64.46,3
2023,Autumn,12413,24,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,2,0,2,0,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,0,0,10,7.25,9.75,7.25,7,8.5,9,7.25,5.5,3,76,100,79.46,4
2023,Autumn,12413,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,10,10,10,10,10,10,10,10,10,100,79,76.85,4
2023,Autumn,12413,12,2,2,1,2,2,2,1,1.5,2,1.5,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,9,9.5,10,10,10,9.5,9.5,9.5,7,8.5,100,76.86,91,4
2023,Autumn,12413,7,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,10,10,10,10,10,10,10,10,9,76,96,96,2
2023,Autumn,12413,21,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,10,10,10,10,10,10,9.67,10,9,100,77.86,66.54,4
2023,Autumn,12413,40,2,2,2,2,2,0,0,2,0,2,0,0,0,0,0,2,2,0,2,0,2,2,2,2,0,0,0,2,0,0,2,0,0,2,0,2,0,0,2,0,7.5,9.25,9.5,9.5,9,10,10,8.5,10,9,100,73,64.77,4
2023,Autumn,12413,52,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9.5,9.5,10,9.75,9.5,10,10,8.67,9,9,81,100,75.69,4
2023,Autumn,12413,36,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,10,10,10,10,10,10,9.67,10,9,100,82,75,4
2023,Autumn,12413,25,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,9.5,10,10,10,10,10,10,10,10,9,79,100,70.54,3
2023,Autumn,12413,19,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,10,10,10,10,10,10,10,10,10,66,100,96,3
2023,Autumn,12413,22,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,10,10,10,10,10,10,10,10,10,87,100,86,4
2023,Autumn,12413,45,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,9.75,10,10,9.5,9.5,10,10,10,10,98,100,94,4
2023,Autumn,12413,1,2,2,2,2,2,2,1.5,1.5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,9,9.25,10,8.75,8,7.5,7,6.67,8,9,100,75,49.08,1
2023,Autumn,12413,42,2,2,2,2,2,2,2,2,2,2,2,2,2,1.5,2,2,2,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8.5,9.75,10,10,9.5,9.5,10,10,10,10,65,100,82,4
2023,Autumn,12413,15,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,0,2,2,2,0,2,9,9.25,10,9.5,9,10,10,8.5,10,9,100,91,91,4
2023,Autumn,12413,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,9.5,10,9.75,9.5,10,10,9.5,10,10,100,88,91,4
2023,Autumn,12413,21,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,9.25,10,10,10,9.5,10,9.67,9,8.5,93,98,93,4
2023,Autumn,12413,33,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,9.5,10,9.5,10,10,10,10,9.5,9.5,100,102,94,4
2023,Autumn,12413,22,2,2,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,10,9.5,10,9.75,9.5,10,10,8.67,9,9,83,100,83.23,4
2023,Autumn,12413,21,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,10,10,10,10,10,10,9.5,10,9,100,90,87,4
2023,Autumn,12413,17,2,2,2,2,2,1,1.5,2,2,1.5,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,0,2,2,2,0,2,2,2,0,2,8,10,10,10,10,9.5,10,9.5,8.5,9,100,66.86,82.46,4
2023,Autumn,12413,28,2,2,2,1,2,2,2,2,2,0,2,0,0,0,0,0,0,0,2,2,2,0,0,2,0,0,0,0,2,2,0,2,0,2,0,2,0,2,0,0,9,10,10,10,10,10,10,9.5,10,9,100,81,71.92,4
2023,Autumn,12413,35,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,10,10,10,10,10,10,10,10,9,100,95,88,4
2023,Autumn,12413,35,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,9.5,10,9.5,10,10,10,10,9.5,9.5,100,100,98,4
2023,Autumn,12413,3,2,2,2,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,9.25,6,9,8,9,9,10,0,8,7.5,94,80.29,74.15,0
2023,Autumn,12413,21,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,10,9,9.75,9.5,10,10,9.5,7.5,8,100,100,84,3
2023,Autumn,12413,52,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,9.5,10,10,10,10,10,10,10,9,100,89,97,4
2023,Autumn,12413,13,2,2,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,2,2,0,2,0,2,2,0,0,0,2,2,2,0,0,0,0,10,10,9.75,10,10,9.5,10,9.5,10,9.5,82,82.43,77,3
2023,Autumn,12413,49,2,2,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,10,10,10,10,9.5,10,9.5,8.5,9,72,100,88,4
2023,Autumn,12413,5,2,2,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,10,9.75,10,10,9.5,10,9.5,10,9.5,76,100,84,4
2023,Autumn,12413,14,2,2,2,1,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,9.5,10,9.75,9.5,10,10,9.5,10,10,100,95,88.46,4
2023,Autumn,12413,42,2,2,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,2,0,2,2,2,2,2,10,10,9,9.75,9.5,10,10,9.5,7.5,8,100,100,82,4
2023,Autumn,12413,42,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,9.5,10,10,10,10,10,10,10,9,100,86.86,76.54,4
2023,Autumn,12411,10,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7.5,9.75,9.5,10,10,10,10,10,7,7.5,100,89,85,4
2023,Autumn,12411,38,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,9.5,9.5,10,9.5,9.75,10,10,9.5,8,8.5,88,100,71.54,4
2023,Autumn,12411,3,2,2,2,2,2,2,1,1,2,2,1,2,2,1,0,2,1,2,2,0,2,2,1,2,2,1,2,2,0,2,0,2,2,2,1,2,0,2,0,2,9.5,6.5,9.5,9.75,9,10,10,8.25,8,10,75,81,63.85,1
2023,Autumn,12411,50,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,9.5,10,8.5,9.5,9.5,10,9.25,9.5,9.5,91,100,85,4
2023,Autumn,12411,30,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,1,2,2,2,0,2,2,0,0,2,0,2,2,0,0,2,2,0,2,2,0,0,0,9.5,9.75,10,10,9.25,10,9.5,9.75,9,9,81,100,79.15,4
2023,Autumn,12411,36,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,10,10,10,10,10,10,10,9,8.5,100,84,84,4
2023,Autumn,12411,10,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,2,2,2,0,2,2,2,2,0,2,2,2,2,0,2,0,2,2,2,0,2,9,9.75,9.5,10,10,10,10,10,7,7.5,96,92.86,85,2
2023,Autumn,12411,29,0,2,2,2,2,2,2,0,2,0,2,2,0,2,2,0,0,0,2,2,0,2,2,2,2,0,2,2,2,0,0,2,0,2,2,2,0,2,0,0,10,9.5,9,9.5,10,9.5,10,8,8.5,8.5,100,89,78,4
2023,Autumn,12411,29,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9.5,10,10,9.5,9.5,10,10,9.5,10,10,100,97,92,4
2023,Autumn,12411,20,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,0,2,2,1,2,2,2,2,2,2,2,2,2,9.5,9.5,9.25,10,9,10,10,8.75,9.5,9.5,100,92.43,89.46,2
2023,Autumn,12411,18,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,10,9.5,10,9.75,10,9.5,10,9,10,96,100,92,4
2023,Autumn,12411,47,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8.5,8.5,9.75,9,9.75,9.5,10,7.5,8.5,9,100,100,98,4
2023,Autumn,12411,52,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,9.5,9.5,10,8.5,9.5,9.5,10,9.25,9.5,9.5,100,93,97.23,4
2023,Autumn,12411,38,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,8.75,8.25,9.25,9.75,9,10,9.75,9.5,10,78,100,87,4
2023,Autumn,12411,38,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,10,10,9.5,10,9.5,10,9.25,8.5,8,100,98,98,4
2023,Autumn,12411,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,10,9.75,10,10,9.25,10,9.5,9.75,9,9,98,100,96,4
2023,Autumn,12411,34,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9.5,10,8.75,9.75,8.75,9.5,9.5,9.5,9.5,9,100,100,96,4
2023,Autumn,12411,39,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,9.5,8.75,8.25,9.25,9.75,9,10,9.75,9.5,10,85,85,89,4
2023,Autumn,12411,5,2,2,0,2,2,2,2,2,0,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,0,2,0,2,2,2,2,2,2,0,2,2,0,0,0,10,8.75,8.25,9.25,9.75,9,10,9.75,9.5,10,100,64,63.62,3
2023,Autumn,12411,33,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,9.75,10,10,10,10,10,10,9.5,10,88,100,94,4
2023,Autumn,12411,34,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,9.5,9.75,10,10,10,9.75,9.25,9.5,10,64,100,69.77,4
2023,Autumn,12411,33,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,10,10,10,9.5,10,9.5,10,9.25,8.5,8,78,74,88,4
2023,Autumn,12411,43,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9.5,10,9.75,10,10,10,10,9.5,9.5,9.5,100,100,94,4
2023,Autumn,12411,48,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9.5,10,9.75,10,10,10,10,9.5,9.5,9.5,100,102,98,4
